Epoch(UTCG),Lat_GEOD(deg),Lon_GEOD(deg),Height_WGS84 (km),Magnetic Latitude,Magnetic Longitude,MLT
02 Jan 2015 03:46:30.000,-72.329,167.629,1749.025951,-77.31352996826172,-68.71043395996094,18.192851765950522
02 Jan 2015 03:46:40.000,-71.933,168.467,1761.227161,-76.8561019897461,-69.46068572998047,18.14585215250651
02 Jan 2015 03:46:50.000,-71.535,169.265,1773.393415,-76.39864349365234,-70.16065216064453,18.102204895019533
02 Jan 2015 03:47:00.000,-71.134,170.027,1785.523986,-75.94010162353516,-70.81808471679688,18.06139221191406
02 Jan 2015 03:47:10.000,-70.732,170.755,1797.618159,-75.4819107055664,-71.43161010742188,18.023508707682293
02 Jan 2015 03:47:20.000,-70.327,171.45,1809.675231,-75.02291870117188,-72.01285552978516,17.987775166829426
02 Jan 2015 03:47:30.000,-69.921,172.114,1821.694514,-74.56449890136719,-72.5595932006836,17.954344177246092
02 Jan 2015 03:47:40.000,-69.513,172.749,1833.675331,-74.10586547851562,-73.077880859375,17.922808837890624
02 Jan 2015 03:47:50.000,-69.104,173.357,1845.617017,-73.64763641357422,-73.5677261352539,17.893169657389322
02 Jan 2015 03:48:00.000,-68.694,173.94,1857.518918,-73.18971252441406,-74.03144836425781,17.865272013346353
02 Jan 2015 03:48:10.000,-68.283,174.498,1869.380395,-72.73238372802734,-74.47293853759766,17.83885752360026
02 Jan 2015 03:48:20.000,-67.87,175.033,1881.200817,-72.27467346191406,-74.8958511352539,17.81368153889974
02 Jan 2015 03:48:30.000,-67.457,175.547,1892.979566,-71.81795501708984,-75.2968978881836,17.789962259928384
02 Jan 2015 03:48:40.000,-67.044,176.04,1904.716035,-71.36249542236328,-75.67913818359375,17.767497762044272
02 Jan 2015 03:48:50.000,-66.629,176.514,1916.409627,-70.90640258789062,-76.0472640991211,17.745973205566408
02 Jan 2015 03:49:00.000,-66.215,176.969,1928.059758,-70.45236206054688,-76.39779663085938,17.72562255859375
