Epoch(UTCG),Lat_GEOD(deg),Lon_GEOD(deg),Height_WGS84 (km)
01 Jan 2015 00:00:00.000,-22.048,83.92,218.728507
01 Jan 2015 00:00:10.000,-22.765,84.025,223.975436
01 Jan 2015 00:00:20.000,-23.481,84.132,229.352271
01 Jan 2015 00:00:30.000,-24.196,84.241,234.860158
01 Jan 2015 00:00:40.000,-24.91,84.351,240.500074
01 Jan 2015 00:00:50.000,-25.622,84.462,246.272825
01 Jan 2015 00:01:00.000,-26.333,84.575,252.179059
01 Jan 2015 00:01:10.000,-27.042,84.69,258.219268
01 Jan 2015 00:01:20.000,-27.751,84.806,264.393795
01 Jan 2015 00:01:30.000,-28.457,84.924,270.702841
01 Jan 2015 00:01:40.000,-29.162,85.044,277.146469
01 Jan 2015 00:01:50.000,-29.866,85.166,283.724609
01 Jan 2015 00:02:00.000,-30.568,85.29,290.437069
01 Jan 2015 00:02:10.000,-31.268,85.416,297.283532
01 Jan 2015 00:02:20.000,-31.966,85.544,304.26357
01 Jan 2015 00:02:30.000,-32.663,85.675,311.376645
01 Jan 2015 00:02:40.000,-33.358,85.807,318.622113
01 Jan 2015 00:02:50.000,-34.051,85.943,325.999234
01 Jan 2015 00:03:00.000,-34.743,86.08,333.507174
01 Jan 2015 00:03:10.000,-35.432,86.22,341.145009
01 Jan 2015 00:03:20.000,-36.12,86.363,348.911733
01 Jan 2015 00:03:30.000,-36.806,86.509,356.806262
01 Jan 2015 00:03:40.000,-37.489,86.658,364.827435
01 Jan 2015 00:03:50.000,-38.171,86.809,372.974025
01 Jan 2015 00:04:00.000,-38.85,86.964,381.244739
01 Jan 2015 00:04:10.000,-39.528,87.122,389.638223
01 Jan 2015 00:04:20.000,-40.203,87.284,398.153067
01 Jan 2015 00:04:30.000,-40.877,87.449,406.78781
01 Jan 2015 00:04:40.000,-41.548,87.618,415.540941
01 Jan 2015 00:04:50.000,-42.216,87.79,424.410905
01 Jan 2015 00:05:00.000,-42.883,87.967,433.396108
01 Jan 2015 00:05:10.000,-43.547,88.147,442.494918
01 Jan 2015 00:05:20.000,-44.209,88.332,451.705668
01 Jan 2015 00:05:30.000,-44.869,88.522,461.026663
01 Jan 2015 00:05:40.000,-45.526,88.716,470.45618
01 Jan 2015 00:05:50.000,-46.181,88.915,479.992472
01 Jan 2015 00:06:00.000,-46.834,89.119,489.633771
01 Jan 2015 00:06:10.000,-47.484,89.329,499.378291
01 Jan 2015 00:06:20.000,-48.131,89.544,509.22423
01 Jan 2015 00:06:30.000,-48.776,89.765,519.169773
01 Jan 2015 00:06:40.000,-49.419,89.991,529.213094
01 Jan 2015 00:06:50.000,-50.059,90.224,539.352361
01 Jan 2015 00:07:00.000,-50.696,90.464,549.585732
01 Jan 2015 00:07:10.000,-51.33,90.711,559.911364
01 Jan 2015 00:07:20.000,-51.962,90.964,570.327412
01 Jan 2015 00:07:30.000,-52.591,91.225,580.832027
01 Jan 2015 00:07:40.000,-53.218,91.494,591.423367
01 Jan 2015 00:07:50.000,-53.842,91.771,602.099587
01 Jan 2015 00:08:00.000,-54.462,92.057,612.858852
01 Jan 2015 00:08:10.000,-55.08,92.352,623.699329
01 Jan 2015 00:08:20.000,-55.695,92.656,634.619194
01 Jan 2015 00:08:30.000,-56.307,92.97,645.616631
01 Jan 2015 00:08:40.000,-56.916,93.295,656.689833
01 Jan 2015 00:08:50.000,-57.522,93.63,667.837003
01 Jan 2015 00:09:00.000,-58.125,93.977,679.056358
01 Jan 2015 00:09:10.000,-58.724,94.335,690.346124
01 Jan 2015 00:09:20.000,-59.321,94.707,701.704541
01 Jan 2015 00:09:30.000,-59.914,95.092,713.129863
01 Jan 2015 00:09:40.000,-60.503,95.491,724.620357
01 Jan 2015 00:09:50.000,-61.09,95.904,736.174307
01 Jan 2015 00:10:00.000,-61.672,96.333,747.790009
