Epoch(UTCG),Lat_GEOD(deg),Lon_GEOD(deg),Height_WGS84 (km)
02 Jan 2015 03:46:30.000,-72.329,167.629,1749.025951
02 Jan 2015 03:46:40.000,-71.933,168.467,1761.227161
02 Jan 2015 03:46:50.000,-71.535,169.265,1773.393415
02 Jan 2015 03:47:00.000,-71.134,170.027,1785.523986
02 Jan 2015 03:47:10.000,-70.732,170.755,1797.618159
02 Jan 2015 03:47:20.000,-70.327,171.45,1809.675231
02 Jan 2015 03:47:30.000,-69.921,172.114,1821.694514
02 Jan 2015 03:47:40.000,-69.513,172.749,1833.675331
02 Jan 2015 03:47:50.000,-69.104,173.357,1845.617017
02 Jan 2015 03:48:00.000,-68.694,173.94,1857.518918
02 Jan 2015 03:48:10.000,-68.283,174.498,1869.380395
02 Jan 2015 03:48:20.000,-67.87,175.033,1881.200817
02 Jan 2015 03:48:30.000,-67.457,175.547,1892.979566
02 Jan 2015 03:48:40.000,-67.044,176.04,1904.716035
02 Jan 2015 03:48:50.000,-66.629,176.514,1916.409627
02 Jan 2015 03:49:00.000,-66.215,176.969,1928.059758
02 Jan 2015 03:49:10.000,-65.799,177.407,1939.665852
02 Jan 2015 03:49:20.000,-65.384,177.829,1951.227344
02 Jan 2015 03:49:30.000,-64.968,178.235,1962.743677
02 Jan 2015 03:49:40.000,-64.552,178.626,1974.214306
02 Jan 2015 03:49:50.000,-64.136,179.002,1985.638694
02 Jan 2015 03:50:00.000,-63.72,179.366,1997.016312
02 Jan 2015 03:50:10.000,-63.304,179.716,2008.354823
02 Jan 2015 03:50:20.000,-62.889,-179.945,2019.645401
02 Jan 2015 03:50:30.000,-62.473,-179.619,2030.887477
02 Jan 2015 03:50:40.000,-62.057,-179.303,2042.080487
02 Jan 2015 03:50:50.000,-61.642,-178.998,2053.223881
02 Jan 2015 03:51:00.000,-61.226,-178.703,2064.317114
02 Jan 2015 03:51:10.000,-60.811,-178.417,2075.359653
02 Jan 2015 03:51:20.000,-60.397,-178.141,2086.350974
02 Jan 2015 03:51:30.000,-59.982,-177.873,2097.290562
02 Jan 2015 03:51:40.000,-59.568,-177.614,2108.177911
02 Jan 2015 03:51:50.000,-59.155,-177.363,2119.012524
02 Jan 2015 03:52:00.000,-58.741,-177.12,2129.793912
02 Jan 2015 03:52:10.000,-58.328,-176.884,2140.521599
02 Jan 2015 03:52:20.000,-57.916,-176.655,2151.195113
02 Jan 2015 03:52:30.000,-57.504,-176.433,2161.813993
02 Jan 2015 03:52:40.000,-57.093,-176.218,2172.377787
02 Jan 2015 03:52:50.000,-56.682,-176.008,2182.886052
02 Jan 2015 03:53:00.000,-56.271,-175.805,2193.338351
02 Jan 2015 03:53:10.000,-55.861,-175.607,2203.734258
02 Jan 2015 03:53:20.000,-55.451,-175.416,2214.073354
02 Jan 2015 03:53:30.000,-55.043,-175.229,2224.355227
02 Jan 2015 03:53:40.000,-54.634,-175.047,2234.579475
02 Jan 2015 03:53:50.000,-54.226,-174.871,2244.745701
02 Jan 2015 03:54:00.000,-53.819,-174.699,2254.853519
02 Jan 2015 03:54:10.000,-53.412,-174.532,2264.902546
02 Jan 2015 03:54:20.000,-53.006,-174.369,2274.892411
02 Jan 2015 03:54:30.000,-52.6,-174.211,2284.822746
02 Jan 2015 03:54:40.000,-52.195,-174.056,2294.693192
02 Jan 2015 03:54:50.000,-51.791,-173.906,2304.503395
02 Jan 2015 03:55:00.000,-51.387,-173.759,2314.253009
02 Jan 2015 03:55:10.000,-50.984,-173.616,2323.947199
02 Jan 2015 03:55:20.000,-50.581,-173.477,2333.580056
02 Jan 2015 03:55:30.000,-50.179,-173.341,2343.151206
02 Jan 2015 03:55:40.000,-49.777,-173.209,2352.660279
02 Jan 2015 03:55:50.000,-49.377,-173.08,2362.106914
02 Jan 2015 03:56:00.000,-48.976,-172.953,2371.490755
02 Jan 2015 03:56:10.000,-48.577,-172.83,2380.811452
02 Jan 2015 03:56:20.000,-48.178,-172.71,2390.068663
02 Jan 2015 03:56:30.000,-47.779,-172.593,2399.262049
02 Jan 2015 03:56:40.000,-47.381,-172.478,2408.391282
02 Jan 2015 03:56:50.000,-46.984,-172.366,2417.456035
02 Jan 2015 03:57:00.000,-46.587,-172.257,2426.455991
02 Jan 2015 03:57:10.000,-46.191,-172.15,2435.390838
02 Jan 2015 03:57:20.000,-45.796,-172.045,2444.260269
02 Jan 2015 03:57:30.000,-45.401,-171.943,2453.063984
02 Jan 2015 03:57:40.000,-45.006,-171.843,2461.801689
02 Jan 2015 03:57:50.000,-44.613,-171.745,2470.473096
02 Jan 2015 03:58:00.000,-44.22,-171.65,2479.077922
02 Jan 2015 03:58:10.000,-43.827,-171.556,2487.61589
02 Jan 2015 03:58:20.000,-43.435,-171.465,2496.086728
02 Jan 2015 03:58:30.000,-43.044,-171.375,2504.490172
02 Jan 2015 03:58:40.000,-42.653,-171.288,2512.82596
02 Jan 2015 03:58:50.000,-42.263,-171.202,2521.093837
02 Jan 2015 03:59:00.000,-41.873,-171.118,2529.293554
02 Jan 2015 03:59:10.000,-41.484,-171.036,2537.424865
02 Jan 2015 03:59:20.000,-41.095,-170.955,2545.487531
02 Jan 2015 03:59:30.000,-40.707,-170.877,2553.481317
02 Jan 2015 03:59:40.000,-40.32,-170.799,2561.405993
02 Jan 2015 03:59:50.000,-39.933,-170.724,2569.261332
02 Jan 2015 04:00:00.000,-39.547,-170.649,2577.047115
02 Jan 2015 04:00:10.000,-39.161,-170.577,2584.766799
02 Jan 2015 04:00:20.000,-38.776,-170.505,2592.416458
02 Jan 2015 04:00:30.000,-38.391,-170.436,2599.995854
02 Jan 2015 04:00:40.000,-38.007,-170.367,2607.504752
02 Jan 2015 04:00:50.000,-37.623,-170.3,2614.942919
02 Jan 2015 04:01:00.000,-37.24,-170.234,2622.310131
02 Jan 2015 04:01:10.000,-36.857,-170.169,2629.606165
02 Jan 2015 04:01:20.000,-36.475,-170.106,2636.830802
02 Jan 2015 04:01:30.000,-36.093,-170.044,2643.983831
02 Jan 2015 04:01:40.000,-35.712,-169.983,2651.06504
02 Jan 2015 04:01:50.000,-35.332,-169.923,2658.074227
02 Jan 2015 04:02:00.000,-34.951,-169.864,2665.011189
02 Jan 2015 04:02:10.000,-34.572,-169.806,2671.87573
